Total Error,Valid Pairs,Error Rate
2840.042229706448,4,113.60168918825792
1507.0547528527213,2,30.141095057054425
1323.5455245283529,2,26.470910490567057
1318.7319422113414,2,26.37463884422683
1314.9409294667605,2,26.29881858933521
1307.902661356032,2,26.15805322712064
2779.600971707958,4,111.18403886831831
2781.5277485368897,4,111.26110994147558
2788.106729308628,4,111.52426917234511
2781.6222325638983,4,111.26488930255593
2795.7744317976303,4,111.83097727190521
2805.861442743324,4,112.23445770973296
2792.4455035748842,4,111.69782014299537
2792.4455035748842,4,111.69782014299537
2795.7744317976303,4,111.83097727190521
2795.7744317976303,4,111.83097727190521
2803.271987247349,4,112.13087948989396
2803.271987247349,4,112.13087948989396
6436.726732043867,10,643.6726732043867
1314.9409294667605,2,26.29881858933521
2806.5220397963412,4,112.26088159185365
2795.7744317976303,4,111.83097727190521
2802.6113901943318,4,112.10445560777328
2795.7744317976303,4,111.83097727190521
7659.830231006606,12,919.1796277207927
2802.6113901943318,4,112.10445560777328
2802.6113901943318,4,112.10445560777328
2795.7744317976303,4,111.83097727190521
7710.039413737572,12,925.2047296485088
2802.6113901943318,4,112.10445560777328
2810.1089456440504,4,112.40435782576202
2803.271987247349,4,112.13087948989396
1305.9758845271003,2,26.119517690542008
3935.580375882554,6,236.13482255295327
9137.834443467524,14,1279.2968220854534
9145.128642205462,14,1280.3180099087647
1302.1892752961035,2,26.04378550592207
2745.410454033894,4,109.81641816135576
1266.0456203691176,2,25.32091240738235
2375.0438373162347,4,95.00175349264939
4030.7304641225683,6,241.8438278473541
5254.310562083914,8,420.34484496671314
4025.880645175384,6,241.55283871052305
7634.922175476947,12,916.1906610572337
6397.14312129955,10,639.714312129955
4018.377595053135,6,241.10265570318808
4022.0992839833148,6,241.32595703899887
7642.607060562623,12,917.1128472675147
6397.14312129955,10,639.714312129955
6449.890403371566,10,644.9890403371567
4007.5378905247076,6,240.45227343148247
6374.8093807552505,10,637.480938075525
5193.970946693942,8,415.51767573551535
2715.9655380602553,4,108.63862152241022
6343.105938456728,10,634.3105938456728
7601.013080104189,12,912.1215696125025
4007.5378905247076,6,240.45227343148247
7589.193244531355,12,910.7031893437627
6383.17740711849,10,638.3177407118491
4001.10332988265,6,240.06619979295903
7593.007944142336,12,911.1609532970804
3604.9692255953532,6,216.29815353572118
6367.105144277799,10,636.7105144277799
6354.628249096475,10,635.4628249096475
2345.4440506931332,4,93.81776202772534
3582.060084015281,6,214.92360504091687
7627.979913794002,12,915.3575896552802
6363.558865170066,10,636.3558865170066
1241.0495558621064,2,24.82099111724213
6458.732990802728,10,645.8732990802728
7646.759599965624,12,917.6111519958749
6341.305867799156,10,634.1305867799156
5158.576647334087,8,412.686131786727
7625.3824959575495,12,915.045899514906
6338.52247715031,10,633.852247715031
7597.46131013308,12,911.6953572159696
6352.224785145656,10,635.2224785145656
7576.180680433257,12,909.1416816519909
2430.0417371810804,4,97.20166948724322
5181.590325856794,8,414.52722606854354
6394.514502668244,10,639.4514502668244
3981.843505049101,6,238.91061030294605
2686.341715515179,4,107.45366862060717
7552.102269873876,12,906.2522723848651
5177.6800960130195,8,414.21440768104156
5174.107908568947,8,413.92863268551577
1186.1123077709358,2,23.722246155418716
3981.843505049101,6,238.91061030294605
6317.4967081809755,10,631.7496708180976
3981.843505049101,6,238.91061030294605
6338.735712754462,10,633.8735712754462
2700.879494933198,4,108.03517979732793
6331.682901264197,10,633.1682901264197
3952.955202744606,6,237.17731216467635
1407.7592882115684,2,28.15518576423137
